Energy (eV)	Time (ns)
2.83279	27.1653
2.81864	25.5813
2.81347	32.3945
2.48473	26.2381
2.57511	25.1245
2.53485	27.7428
2.6217	24.823
2.87465	32.1738
2.61237	29.6209
2.63755	25.7275
2.85523	29.6005
2.65725	25.0069
2.81363	23.9715
2.7887	27.9782
2.61967	24.6213
2.58198	30.6784
2.56522	24.6461
2.60141	24.372
2.77107	25.136
2.7994	26.7866
2.64855	26.5105
2.83509	24.1374
2.85991	24.9656
2.82171	24.8073
2.79972	26.697
2.81987	27.463
2.76466	24.1142
3.02227	28.1867
2.71776	29.0678
2.77069	25.2263
2.77366	25.4822
2.73942	28.7996
2.89578	26.0009
2.93579	26.9571
2.69	25.1755
2.55036	23.8769
2.81575	28.1
2.66431	26.8026
3.0616	25.369
2.81551	27.2454
2.80185	31.3391
2.66968	27.2708
2.81312	40.1711
2.6517	25.2716
3.0119	24.8139
2.77608	29.7825
2.76594	31.902
2.73566	24.4
2.7706	27.3807
2.71451	25.8441
2.86045	30.7132
2.76695	24.2993
2.76124	25.5876
2.82369	27.1425
2.89622	28.1806
2.86258	40.0972
2.49071	24.9177
2.48326	24.4899
2.76497	28.0223
2.68351	29.936
2.56414	26.0391
2.83206	26.4909
2.77535	27.841
2.78202	24.5918
2.8619	24.1659
2.76253	24.399
2.83071	27.1577
2.73464	27.6072
2.96393	24.6836
2.68007	26.6515
2.8289	24.383
2.66494	28.3047
3.06935	25.06
2.64229	30.5077
2.79469	25.6768
2.97274	25.6281
2.88918	24.5035
2.93235	30.8023
2.83783	24.3057
2.78896	24.2494
2.60924	24.7131
3.03613	31.0165
2.82564	35.0876
2.68196	25.7325
2.97486	25.286
2.80729	24.2523
2.65758	24.1042
2.50107	29.2304
2.83211	25.3731
2.77508	24.3664
2.6957	24.2956
3.04287	24.3326
2.51545	24.1754
2.72254	42.2065
2.86038	25.3251
2.75769	24.4576
2.13261	32.5949
2.67736	25.5189
2.83625	24.7557
2.73831	25.2518
2.81844	26.3451
2.91606	34.2986
2.91951	35.0001
2.77993	26.6369
2.5348	24.1272
2.66238	25.1964
2.57817	27.2913
2.35923	25.0202
2.87379	25.7604
2.90455	26.8191
2.70243	28.8502
2.65756	24.0799
2.85486	33.6717
2.75488	24.5004
2.77055	24.0786
2.89197	26.8903
2.9187	26.2879
2.59	25.1754
2.78109	25.8069
2.81829	26.4767
2.83831	29.7887
2.91298	25.0963
2.7226	26.7332
2.82233	27.2519
2.75101	26.303
2.78202	34.8032
2.81476	24.5519
2.79597	24.5644
2.76568	30.1461
2.69933	24.9103
2.6111	27.3988
2.7664	27.4128
2.5943	27.8429
2.84703	24.615
2.82553	25.4897
2.89393	31.8046
2.66074	24.1723
2.65118	24.0281
2.88648	26.5618
2.85623	24.6829
2.74021	30.0309
2.61177	24.9887
2.76454	27.881
2.68553	24.7292
2.79791	26.2127
2.82676	27.4656
2.7195	28.0091
2.96609	24.724
2.85897	34.6774
2.60024	27.9367
2.84945	25.9732
2.86058	27.744
2.82285	23.9948
2.40707	25.5495
2.62041	26.8897
2.63716	25.2078
2.94888	31.9471
2.47161	26.248
2.78558	27.9255
2.76377	25.6865
2.64356	30.9753
2.64345	29.7102
2.66625	27.1331
2.79949	30.6622
2.92896	25.7537
2.66374	24.9762
2.64395	26.9552
2.78481	27.2961
2.77893	25.5354
2.92427	29.6165
2.75674	28.7565
2.75654	29.1763
2.87379	24.2515
2.72726	25.8396
2.77465	32.7154
2.75898	25.9756
2.78665	24.3464
2.7193	24.8775
2.54186	28.0774
2.72641	37.1543
2.71585	32.711
2.63991	25.5787
2.8573	29.2125
2.66731	24.4919
2.91747	25.5974
2.80178	34.9728
2.73515	25.396
2.53311	24.3673
2.77182	24.9657
2.97242	25.152
2.73355	29.867
2.63588	26.0368
2.57098	32.721
2.79529	25.7134
2.85967	27.9221
2.7226	25.3835
2.73062	27.3687
2.81798	25.4713
2.87185	25.1105
2.7807	25.3979
2.9779	39.2157
2.68178	27.2124
2.74115	27.3157
2.53432	24.5486
2.59035	30.3123
2.76945	25.9158
2.94991	24.4506
2.83822	25.119
2.88837	28.4429
3.00058	33.4866
2.65875	28.494
2.63752	24.4669
2.59904	29.7297
2.82707	25.1002
2.94924	24.939
2.57162	25.7746
2.83331	24.7868
2.72324	24.6418
2.87835	24.8454
2.82529	28.2184
2.82138	24.2579
2.72772	24.0514
2.7579	24.5668
3.02353	25.1663
2.54326	25.855
2.93598	25.3358
2.89495	24.4858
2.70603	25.7452
2.71138	31.4516
2.79356	33.911
2.4738	28.1582
2.79145	26.619
2.86641	24.9372
2.77364	25.0771
2.6575	24.2008
2.99818	24.242
2.77491	26.2409
2.72782	31.6408
2.955	24.5868
2.56086	24.7871
2.48894	27.9069
2.60687	32.8909
2.79645	27.0031
2.89771	25.5337
2.77692	25.1355
2.99209	25.853
2.86211	25.0684
2.72374	24.5799
2.69708	31.5692
3.03929	27.0904
2.83565	28.8487
2.53137	24.6112
2.80311	24.8561
2.84103	26.2875
2.89084	26.5573
2.78332	25.1721
2.66098	24.4204
2.72887	26.7042
2.64226	28.0921
2.65485	26.6984
2.65417	25.1822
3.04546	26.5322
2.74713	28.8555
2.82042	25.4303
2.99251	28.3135
2.83275	24.4359
2.81443	25.7352
2.74248	33.2392
2.53962	26.023
2.57514	24.1601
2.88383	24.5332
2.68139	32.7578
2.70913	24.709
2.83838	31.4956
2.54833	24.1846
2.70119	24.5507
2.94618	34.5752
2.82271	27.8752
2.63094	26.6327
2.78663	29.2534
2.54197	29.7272
2.62898	28.7711
2.97031	24.3925
2.6725	24.7655
2.83755	29.6882
2.69704	27.0672
2.85704	24.039
2.83954	26.7862
2.9748	25.624
2.40326	23.9517
2.82849	29.2094
2.69455	24.2696
2.84871	24.0949
2.65456	27.8999
2.93393	25.1737
2.90343	31.0457
2.71069	24.3579
2.63307	26.8637
2.99716	26.1073
2.74049	24.87
2.72234	24.2607
2.87518	28.428
2.48672	29.7757
2.82861	26.885
2.79709	25.5791
2.77878	34.8069
2.81955	25.9517
2.77883	27.307
2.64984	28.0161
2.72623	29.3155
2.75975	27.6458
2.8129	26.456
2.90182	24.19
2.85249	24.2158
2.8998	24.7001
2.59234	32.6068
2.84922	25.9005
2.45052	29.0983
2.77398	25.4037
2.75074	24.479
2.88175	33.7129
2.60115	24.2594
2.84979	25.6666
2.46396	24.1523
2.84905	26.0803
2.82261	26.6591
2.68486	30.8053
2.85326	25.4285
2.7012	25.8089
2.88126	27.0573
2.64609	29.3721
2.87937	29.6939
2.79163	35.6968
2.71821	26.1866
2.67054	25.5032
2.56627	26.0487
2.92735	24.3356
2.77193	24.8328
2.84261	24.1865
2.90619	28.443
2.73883	29.4063
2.72219	30.1379
2.87953	27.0414
2.66365	24.6325
2.99434	26.7624
2.72154	24.5188
3.02844	25.8353
2.89269	24.2199
2.92093	31.0591
2.6747	25.7576
2.84572	27.1399
2.59824	31.0466
2.9343	24.2821
2.54357	29.5038
3.0186	25.4059
2.92584	30.3112
2.68527	30.4045
2.7868	25.6568
2.65066	25.6139
3.00421	26.7373
2.78106	26.5346
2.46344	24.9016
2.44453	24.2147
2.88113	25.7113
2.55564	27.3217
3.01528	30.0795
2.71152	29.1723
2.84382	26.5758
3.01844	26.678
2.90041	37.3516
2.7862	24.5946
2.82886	29.065
2.82045	25.7681
2.92489	28.141
2.90528	24.5221
2.88423	26.8006
2.66814	28.3874
2.99643	24.4964
2.81604	29.9652
2.67321	27.6378
2.89873	25.0971
2.94347	26.6622
2.76115	28.1352
2.91468	30.6387
2.79042	24.2652
2.89837	24.2866
2.70727	27.8985
2.8623	24.8234
2.84703	25.2917
2.70699	26.4641
2.97738	24.1646
2.73971	24.1704
2.88254	27.544
2.83332	29.939
2.86124	24.8357
2.86919	28.141
2.81696	25.8091
2.52923	25.2122
2.61605	31.3136
2.5315	28.4666
2.84055	27.5038
2.66673	24.9254
2.84079	24.3799
2.79252	31.4481
2.8244	25.497
2.74182	25.6816
2.81466	31.3865
2.68139	24.2714
2.84617	25.4498
2.70832	26.4486
2.5387	25.9517
2.87787	33.4331
3.06551	32.6211
2.8543	29.1985
2.54387	25.8986
2.78077	25.6267
2.7362	30.611
2.73705	30.5828
2.87498	32.4353
2.85034	27.3177
2.87984	32.0043
2.81552	26.0392
2.69617	27.0348
3.02727	28.1518
2.58776	26.6941
2.67828	28.101
2.48481	29.419
2.51038	27.3104
2.76739	28.6474
2.71334	26.9397
2.46863	30.4349
2.70689	33.6323
2.41034	26.4985
2.90387	26.4451
2.88119	24.6019
2.48649	26.7117
2.3746	26.2822
2.949	24.4373
2.72688	33.6929
2.90308	35.4893
2.7995	25.332
2.63894	27.1715
2.53508	28.5743
2.85286	25.0792
2.66516	24.6761
2.99798	26.0509
2.76371	27.3882
2.7932	28.1672
2.99576	29.1088
2.99678	26.8868
2.87279	28.448
2.59244	25.0615
2.70879	24.0347
2.78691	26.9355
2.68628	31.5763
2.98403	26.3219
2.78167	28.4804
2.84879	24.7588
2.79625	24.6729
2.69484	28.671
2.63469	28.192
2.68352	27.6014
2.97011	29.5212
2.91434	24.4026
2.82584	26.9647
2.87927	24.7109
2.55109	25.5985
2.93793	25.5869
2.75269	27.6987
2.69147	29.2236
2.74267	28.2606
2.93373	24.8398
2.64091	31.5281
2.80849	24.3854
3.01266	31.6068
2.95758	26.0229
2.85336	32.1715
2.78413	29.2504
2.8602	30.2202
2.56445	33.7508
2.70588	26.9086
2.87759	24.792
2.6444	24.723
2.68082	25.7712
2.93713	27.3325
2.60325	25.0347
2.78757	30.3412
2.54374	30.6306
2.48225	26.9282
2.79553	24.8782
2.84814	35.1946
2.8801	24.975
2.88463	25.5368
2.79297	24.8435
2.62362	39.8538
2.75906	31.114
2.78878	26.6038
2.68842	25.2362
3.00184	33.7611
2.50192	24.55
2.84779	33.2118
2.79249	27.2934
2.67715	28.4248
2.80273	25.6487
2.72044	24.0955
2.76155	25.464
2.84385	24.5752
3.04589	25.033
2.82157	27.8064
2.62396	33.1853
2.92734	24.9017
2.48739	26.8812
2.719	26.668
2.93639	29.8667
2.89634	30.2914
2.88692	29.0556
2.65071	24.55
2.73611	25.0161
2.80717	25.6915
2.69778	25.629
2.70775	27.2026
2.81098	25.2953
2.83276	25.7563
2.79813	31.7354
2.74596	26.2869
2.64027	27.5567
2.55914	28.1449
2.76705	25.739
2.48175	25.2062
2.75528	27.2164
2.74184	37.296
2.67338	25.4845
3.03782	30.9814
2.87427	24.9408
2.56782	25.1435
2.84951	27.6778
2.6822	25.141
2.79774	26.3281
2.73083	24.6112
2.78667	28.4384
2.79981	25.6846
2.96051	25.1983
2.73244	28.588
2.82006	24.6812
2.59091	32.4713
2.62431	25.0908
2.71421	32.6202
2.91398	26.8461
2.41272	25.1533
2.74381	29.729
2.72768	24.4229
2.64097	24.7874
2.84444	27.1118
2.69866	26.9166
2.96436	27.7028
2.91568	25.5626
2.60874	26.447
2.69967	25.1812
2.86207	24.1772
2.58973	26.4734
2.81448	26.4545
2.61197	24.8598
2.82611	25.9539
2.85727	28.5642
2.47115	27.1042
2.86813	25.9039
2.55589	26.063
2.73685	27.7276
2.93546	28.9884
2.72127	37.0214
2.714	39.3207
2.70939	26.9754
2.79218	26.8045
2.48354	24.4782
2.98543	24.5434
2.61074	29.6744
2.91886	24.712
2.61569	29.2291
2.8393	27.0503
2.71301	26.0684
2.76788	26.8702
2.89918	24.9322
2.70589	31.5871
2.74349	24.8893
2.84141	25.7804
2.5871	24.2031
2.61393	30.7455
2.68887	25.1592
2.91383	24.8202
2.81473	24.8352
2.79165	25.6422
2.98269	24.0264
2.83689	24.4106
2.58763	31.7564
3.01426	24.1056
2.90971	24.79
2.86663	24.2785
2.73265	24.8405
2.97642	25.5547
2.63423	29.1839
2.41979	29.5427
2.9379	27.9701
3.04763	28.6435
2.87943	24.9335
2.81243	26.4985
2.74414	26.7242
2.43069	24.0906
2.88891	25.7403
2.76265	24.9426
2.8219	35.7005
2.72326	26.0562
2.63188	25.9261
2.92712	27.2512
2.69746	30.1154
2.76279	27.7764
2.50544	30.1602
2.85896	25.4326
3.07027	26.7441
2.73814	25.8845
2.85243	24.5084
2.84647	27.3147
2.71505	25.1331
2.5289	28.7696
2.63644	24.6439
2.87136	31.4634
2.65538	24.5927
2.86215	25.718
2.8487	24.712
2.75417	28.3058
2.71096	38.2424
2.86508	29.879
2.82112	24.5144
2.88972	24.4281
2.90207	26.3933
2.58748	33.9031
2.83466	25.9345
2.69603	24.7095
2.4299	26.5114
2.78181	30.1903
2.74329	31.9578
2.51854	28.3027
2.78627	27.662
2.98842	25.0186
2.87278	24.7034
2.80363	28.9588
2.57701	24.431
2.77378	29.8152
2.77793	24.7778
2.83653	26.1481
2.57189	24.1218
2.91173	30.2518
2.78157	31.8686
2.54839	25.2643
2.576	26.2114
2.47933	26.352
2.76787	27.3202
2.84479	27.9812
2.86226	26.6818
2.78342	29.4293
2.69028	25.1478
2.31501	25.1438
2.45278	32.4956
3.00957	27.1936
2.72539	24.8961
2.59114	35.8853
2.63206	29.4177
2.76531	25.9312
2.64541	27.3318
2.82685	24.517
2.58659	27.8363
2.90213	25.5604
3.0144	25.4232
2.72578	25.313
2.78042	27.1758
2.94923	29.0508
2.4339	27.5502
2.63173	28.3435
2.90711	24.609
2.70311	25.4889
2.62666	31.7996
2.95967	26.416
2.73556	29.4106
2.94121	28.2765
2.85953	25.9502
2.6043	24.7997
2.70121	25.5425
2.68016	26.2677
2.86366	32.0671
2.72875	26.1764
2.77076	25.436
2.58791	25.4168
2.68194	24.6786
2.76805	32.8598
2.57619	24.494
3.02268	24.4231
2.84841	26.7873
3.00137	31.809
2.96656	29.0104
2.98795	28.7749
2.45006	40.0005
2.94113	28.3511
2.82766	24.2823
2.52246	24.4327
2.70006	24.3341
2.72054	26.6521
2.82714	31.8494
3.04358	24.838
2.98846	25.5782
2.62059	29.0731
2.79008	24.5894
2.69301	27.1319
2.76522	30.0978
2.79817	30.8025
2.84216	25.5564
2.82093	25.4493
2.89883	25.356
2.72549	25.3454
2.68414	31.8382
2.77229	27.2792
2.75296	24.6013
2.62051	33.281
2.67784	29.8384
2.89615	26.4553
2.86644	26.9486
2.87444	35.8787
3.03033	24.6124
2.82456	29.8757
2.74682	27.3939
2.64278	26.0149
2.84013	24.745
2.77174	26.715
2.74736	25.6395
2.77836	25.1793
2.81723	24.7449
2.85499	26.1612
3.06232	24.9946
2.48716	25.5335
2.83756	32.5406
2.84618	25.009
2.74012	28.8911
2.63747	26.5048
3.01337	35.0333
2.85068	24.6724
2.70417	28.6377
2.69122	25.9976
2.68935	24.4929
2.78684	30.7373
2.71218	26.7174
2.86461	24.2502
2.79267	28.2639
3.02224	27.5746
2.63029	29.3672
2.87272	24.1443
2.84313	24.6523
2.71737	25.8732
2.80121	27.0652
3.01288	24.3039
2.65394	24.8743
2.82881	27.9613
2.76529	25.0722
2.79873	26.6069
2.90085	27.2947
2.81386	27.2768
2.81221	24.3108
2.84053	25.5402
2.69243	26.2472
2.83066	26.9671
3.05031	24.5037
2.77362	31.7812
2.65408	38.5792
2.58479	28.9773
2.73528	26.6021
2.66923	25.8662
2.81179	24.5513
2.87035	24.8149
2.95663	28.2046
2.95311	24.3527
2.63423	27.7608
2.85214	34.6575
2.43815	25.5188
2.98081	28.2877
2.82196	24.1308
